location,x-axis,y-axis,z-axis,x-degree,y-degree,z-degree
bottom_left,-0.2964671806552726,-0.24655900431502203,-0.01510368676545426,29.02508839408195,16.018088954340588,7.011023684416204
bottom_right,0.3109625164634603,-0.25082047122229517,-0.042130136936704865,25.74408352621151,-30.801211102294797,-6.750839206495288
finger_2_prox,0.17192797765852486,-0.02155065472798967,0.0612022977256963,-2.5875421227541517,7.874539767385839,78.61431116912728
finger_2_dist,0.24734494695686393,-0.02283977097083178,0.05154913555950602,6.860567323278974,2.534647065981326,115.3112341567371
center,7.942255626738545e-05,0.001367404342653606,0.016566077331213958,15.618960650501116,5.170058592161756,-2.077400820070021
object,0.20461474502150545,0.03483179497679861,0.07819116388477088,2.542101989347032,-0.9245570185075582,155.13671614943433
finger_1_dist,0.26201836155586117,0.040547692135558956,0.06156963124099568,-14.16035663602443,-31.755288163879744,-162.1153008388459
palm,0.14042576592260414,0.07256049662146524,0.058832172402270455,-5.574955875650241,-1.9146047235597752,-116.08048071881439
finger_1_prox,0.22816024771557258,0.09563987769521554,0.04262067478963372,11.234278037550444,0.2979960262200072,-127.75645427721487
top_right,0.3116575487031044,0.262980176814122,-0.04934641508328286,-24.798768201137097,-32.262768044704835,4.583242383361811
top_left,-0.30036900559096563,0.2565834400698632,-0.01239014152273854,-26.425414821859928,13.305348235457055,-6.1686920259597535
